tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,35093,7390,8959626,145850,2017-08-01 16:23:56
892177421306343426,30383,5505,8959626,145850,2017-08-01 00:17:27
891815181378084864,22845,3638,8959626,145850,2017-07-31 00:18:03
891689557279858688,38368,7567,8959626,145850,2017-07-30 15:58:51
891327558926688256,36642,8151,8959626,145850,2017-07-29 16:00:24
891087950875897856,18484,2734,8959626,145850,2017-07-29 00:08:17
890971913173991426,10745,1770,8959626,145850,2017-07-28 16:27:12
890729181411237888,59100,16545,8959626,145850,2017-07-28 00:22:40
890609185150312448,25426,3786,8959626,145850,2017-07-27 16:25:51
890240255349198849,29017,6416,8959626,145850,2017-07-26 15:59:51
890006608113172480,28003,6434,8959626,145850,2017-07-26 00:31:25
889880896479866881,25448,4369,8959626,145850,2017-07-25 16:11:53
889665388333682689,43713,8774,8959626,145850,2017-07-25 01:55:32
889638837579907072,24564,3920,8959626,145850,2017-07-25 00:10:02
889531135344209921,13842,1979,8959626,145850,2017-07-24 17:02:04
889278841981685760,22922,4662,8959626,145850,2017-07-24 00:19:32
888917238123831296,26553,3932,8959626,145850,2017-07-23 00:22:39
888804989199671297,23297,3719,8959626,145850,2017-07-22 16:56:37
888554962724278272,17966,3031,8959626,145850,2017-07-22 00:23:06
888078434458587136,19864,3045,8959626,145850,2017-07-20 16:49:33
887705289381826560,27604,4730,8959626,145850,2017-07-19 16:06:48
887517139158093824,42240,10314,8959626,145850,2017-07-19 03:39:09
887473957103951883,62525,15756,8959626,145850,2017-07-19 00:47:34
887343217045368832,30664,9242,8959626,145850,2017-07-18 16:08:03
887101392804085760,27955,5230,8959626,145850,2017-07-18 00:07:08
886983233522544640,31662,6697,8959626,145850,2017-07-17 16:17:36
886736880519319552,10883,2784,8959626,145850,2017-07-16 23:58:41
886680336477933568,20497,3927,8959626,145850,2017-07-16 20:14:00
886366144734445568,19237,2775,8959626,145850,2017-07-15 23:25:31
886267009285017600,108,3,8959626,145850,2017-07-15 16:51:35
